2015/11,449.88590343348767
2015/12,644.7049515931418
2015/13,792.6477798659809
2016/1,711.3954325015405
2016/2,416.1694805472489
2016/3,278.75210314391654
2016/4,411.2491843445807
2016/5,654.9583734843577
2016/6,386.3131379044512
2016/7,184.89881269401764
2016/8,92.1716066294126
2016/9,-19.65353195131361
2016/10,173.93983174942045
2016/11,202.6414433471333
2016/12,108.54103049631622
2016/13,41.37335163002428
2017/1,-340.0030226268609
2017/2,-145.5932961647814
2017/3,-288.09981411784463
2017/4,-232.11003814868033
2017/5,73.44606112556804
2017/6,310.57033682282196
2017/7,101.69816533837923
2017/8,121.97724881286516
2017/9,-483.8510999541745
2017/10,-309.4926964613202
2017/11,-403.0387456862528
2017/12,-653.5199859548495
2017/13,-943.8698060600509
2018/1,-881.5501238551262
2018/2,-838.2588130422934
2018/3,-963.3888151929083
2018/4,-959.5281727290575
2018/5,-1075.8796237077622
2018/6,-406.104247363612
2018/7,-467.6706398321726
2018/8,-587.2326952373957
2018/9,-677.6193902760222
2018/10,-727.8321457163198
2018/11,-685.5717340340466
2018/12,-605.2984516049128
2018/13,-620.0611038542723
2019/1,-240.80037272496196
2019/2,-408.7381644775609
2019/3,-89.07531188325629
2019/4,-295.7864518835615
2019/5,-500.07828822512124
2019/6,-298.2553256361763
2019/7,-376.76515675151717
2019/8,-430.4302567143484
2019/9,-58.52205357758635
2019/10,42.384587181731035
2019/11,-106.02858690901763
2019/12,-43.5835002786131
2019/13,32.720410248777426
2020/1,-66.01320925166398
2020/2,-356.12913346949364
2020/3,-637.1502567671678
2020/4,-789.1434022815001
2020/5,-1039.8853220190213
2020/6,-883.6726362835002
2020/7,-959.0672127270666
2020/8,-813.1119706834525
2020/9,-489.2559721102693
2020/10,-683.6186628780167
2020/11,-943.8387828760139
2020/12,-850.2062796936248
2020/13,-704.5226072151881
2021/1,-824.8540649629288
2021/2,-590.4886578770412
2021/3,-680.7162716638767
2021/4,-597.5945572245142
2021/5,-563.9255911612861
2021/6,-488.56496113206464
2021/7,-706.8867078242866
2021/8,-756.3268799612721
2021/9,-680.412897056599
2021/10,-544.2163487333266
2021/11,-918.2843467626398
2021/12,-512.7070300935069
2021/13,-445.0195367370327
2022/1,-190.22905225767155
2022/2,191.12972947016962
2022/3,274.19779116326333
2022/4,-19.76767540471272
2022/5,-168.85062581605177
2022/6,-505.7931717765016
2022/7,-277.53628469494515
2022/8,-149.03799774973237
2022/9,-311.1745890961712
2022/10,-262.4194061769595
2022/11,-300.9381699886102
2022/12,-602.4423308948797
2022/13,-105.40353105624104
2023/1,44.98409221855388
2023/2,226.8218574909933
2023/3,-12.723751470508148
2023/4,140.84896901886844
2023/5,-340.48648827867606
2023/6,-251.4828905162807
2023/7,-351.6085224722931
2023/8,-764.0647823711834
2023/9,-548.0145394095276
2023/10,-577.7345073473113
2023/11,-911.2497754946256
2023/12,-799.5714179588156
2023/13,-743.4826417200483
2024/1,-769.4558243293948
2024/2,-686.1329190824241
2024/3,-352.9459360135522
2024/4,-460.9242905001129
2024/5,-273.6539353119415
2024/6,-471.17462926634767
2024/7,-538.6425773662517
2024/8,-493.14581746337205
2024/9,-622.9875885178091
2024/10,-394.4360923796537
2024/11,-205.29142841273267
2024/12,-281.8101264254019
2024/13,-481.5852662280703
2025/1,-779.0030987293317
2025/2,-576.5788965321002
2025/3,-565.0672904924812
2025/4,-548.3958745922649
2025/5,-561.3591224295551
2025/6,-893.17170740686
2025/7,-1157.4891050463852
2025/8,-1312.1008745602062
2025/9,-1016.9918450172368
2025/10,-1325.3239181909287
2025/11,-879.0097768605469
2025/12,-1132.7375629568996
2025/13,-1660.5568971494617
2026/1,-1501.3121827155833
2026/2,-1394.3366604930047
2026/3,-1341.3584404668402
2026/4,-1427.3473444705014
2026/5,-1752.8241369674652
2026/6,-1783.9885939047708
2026/7,-1691.9165646188592
2026/8,-1182.6647979598624
2026/9,-762.3862581617725
2026/10,-919.8132316922655
2026/11,-647.2304320556507
2026/12,-987.7106905365291
2026/13,-921.5414113572305
2027/1,-428.0087920255318
2027/2,-602.1768387390285
2027/3,-659.6155946801243
2027/4,-616.6685285905105
2027/5,-449.1328361118158
2027/6,-527.3137286416827
2027/7,-419.0745130519606
2027/8,-494.1347348614949
2027/9,-255.21360064549452
2027/10,-480.83546736702914
2027/11,-33.75081185838701
2027/12,160.61660691642857
2027/13,-61.587665309108544
2028/1,-231.94470819297266
2028/2,-133.203706703588
2028/3,348.49100998715187
2028/4,430.37768208933653
2028/5,127.90444028785421
2028/6,-50.45007877334545
2028/7,208.10662469126692
2028/8,-430.0216300914799
2028/9,-356.6930497596902
2028/10,-564.4831637065603
2028/11,-885.0014751758924
2028/12,-1009.8022388552668
2028/13,-779.9400658857224
2029/1,-782.765029101935
2029/2,-533.7318365971831
2029/3,-455.7198188419408
2029/4,-273.8351723581636
2029/5,-218.79325833965277
2029/6,-134.39202546024782
2029/7,53.60795730048136
2029/8,-120.27136813407024
2029/9,11.787880239436447
2029/10,270.0385391959229
2029/11,702.3766490752628
2029/12,752.9040934048569
2029/13,631.242796431969
2030/1,137.49167611533062
2030/2,92.49963485470954
2030/3,-25.195404847093002
2030/4,134.0517268705392
2030/5,267.6032890786073
2030/6,-8.176725442954307
2030/7,64.93294068059106
2030/8,-108.43889598652058
2030/9,53.022671845425094
2030/10,-119.22429220845812
2030/11,160.52337259173368
2030/12,22.83464122123445
2030/13,-47.14217903133134
2031/1,-45.27594940944704
2031/2,-150.5621032108232
2031/3,-82.22262510850636
2031/4,-9.533024201344901
