,,Early,2èÊ,,,early * later,,Later,2èÊ
104.67,,104.67,10955.8089,,,11154.6819,,106.57,11357.1649
106.57,,106.57,11357.1649,,,11327.3253,,106.29,11297.5641
106.29,,106.29,11297.5641,,,10686.3966,,100.54,10108.2916
100.54,,100.54,10108.2916,,,9436.6844,,93.86,8809.6996
93.86,,93.86,8809.6996,,,9163.5518,,97.63,9531.6169
97.63,,97.63,9531.6169,,,9237.7506,,94.62,8952.9444
94.62,,94.62,8952.9444,,,9539.5884,,100.82,10164.6724
100.82,,100.82,10164.6724,,,10162.656,,100.8,10160.64
100.8,,100.8,10160.64,,,10288.656,,102.07,10418.2849
102.07,,102.07,10418.2849,,,10429.5126,,102.18,10440.7524
102.18,,102.18,10440.7524,,,10809.6222,,105.79,11191.5241
105.79,,105.79,11191.5241,,,10958.7861,,103.59,10730.8881
103.59,,103.59,10730.8881,,,10000.5786,,96.54,9319.9716
96.54,,96.54,9319.9716,,,8998.4934,,93.21,8688.1041
93.21,,93.21,8688.1041,,,7866.924,,84.4,7123.36
84.4,,84.4,7123.36,,,6396.676,,75.79,5744.1241
75.79,,75.79,5744.1241,,,4493.5891,,59.29,3515.3041
59.29,,59.29,3515.3041,,,2799.6738,,47.22,2229.7284
47.22,,47.22,2229.7284,,,2388.3876,,50.58,2558.3364
50.58,,50.58,2558.3364,,,2418.7356,,47.82,2286.7524
47.82,,47.82,2286.7524,,,2603.799,,54.45,2964.8025
54.45,,54.45,2964.8025,,,3227.2515,,59.27,3512.9329
59.27,,59.27,3512.9329,,,3545.5314,,59.82,3578.4324
59.82,,59.82,3578.4324,,,3044.838,,50.9,2590.81
50.9,,50.9,2590.81,,,2182.083,,42.87,1837.8369
42.87,,42.87,1837.8369,,,1951.0137,,45.51,2071.1601
45.51,çáåv,15261.61,990438.3387,,,987881.5477,,15284.19,991983.7139
